500,8;
1000,17;
1500,30;
2000,219;
2500,341;
3000,474;
3500,634;
4000,2125;
4500,2667;
5000,3287;
5500,3971;
6000,9039;
6500,10630;
7000,12426;
7500,14112;
8000,26455;
8500,29589;
9000,34425;
9500,37130;
10000,61014;
500,9;
1000,19;
1500,33;
2000,224;
2500,342;
3000,482;
3500,650;
4000,2199;
4500,2683;
5000,3306;
5500,3997;
6000,9082;
6500,10651;
7000,12932;
7500,14111;
8000,26272;
8500,29553;
9000,33380;
9500,37797;
10000,60616;
10500,67084;
11000,74471;
11500,80033;
